economy,year,agri_gdp_share,rural_pop_share,gdp_per_capita,total_population,new_displacements,disp_per_100k,agri_gdp_share_lag1,rural_pop_share_lag1,gdp_per_capita_lag1,disp_per_100k_lag1,disp_risk_hist_3yr,log_gdp_per_capita_lag1,log_disp_per_100k,high_displacement_alert
TZA,2018,27.868599477377,67.1712576989166,1023.10626220703,57437145.0,26320.0,45.824004657613116,28.7534809528128,67.7012986682704,986.674011230469,3.3960500523872166,19.35270088560552,6.895352695155703,3.846395991459552,0
TZA,2019,26.5943119516018,66.6524741481248,1063.32250976563,59174891.0,10710.0,18.098892653642572,27.868599477377,67.1712576989166,1023.10626220703,45.824004657613116,32.384683422321615,6.931575571902097,2.9496303571228166,0
TZA,2020,25.254901665343,66.1452753963727,1117.41528320313,60972798.0,56711.0,93.01032896669759,26.5943119516018,66.6524741481248,1063.32250976563,18.098892653642572,22.439649121214302,6.970093734654811,4.543404658857793,0
TZA,2021,24.7884506158783,65.6499888241381,1159.85656738281,62830412.0,47140.0,75.02736095380052,25.254901665343,66.1452753963727,1117.41528320313,93.01032896669759,52.31107542598443,7.019668036625028,4.331093288047369,0
TZA,2022,24.2569694569552,65.1765263622853,1207.52062988281,64711821.0,4210.0,6.5057665430246505,24.7884506158783,65.6499888241381,1159.85656738281,75.02736095380052,62.045527524713556,7.056913431759978,2.015671597514588,0
TZA,2023,23.6871473778631,64.5251980565046,1224.00219726563,66617606.0,45650.0,68.52542854812285,24.2569694569552,65.1765263622853,1207.52062988281,6.5057665430246505,58.18115215450759,7.097152270649727,4.241692564043827,0
UGA,2011,28.9692474777902,79.9438971263369,835.620060555838,33354543.0,6400.0,19.187791000464316,32.8680090776536,81.2009354455428,823.488144282,0.0,0.0,6.714762762614281,3.0050780157626633,0
UGA,2012,27.177257747558,78.627630678747,795.222867553127,34337438.0,220.0,0.640700101154897,28.9692474777902,79.9438971263369,835.620060555838,19.187791000464316,9.593895500232158,6.729370037391231,0.49512304169219745,0
UGA,2013,26.0303237402959,77.2632340760729,818.285427416713,35337042.0,30000.0,84.89674942232007,27.177257747558,78.627630678747,795.222867553127,0.640700101154897,6.609497033873072,6.679879131019301,4.453145986857675,0
UGA,2014,24.8199759353437,75.8061496608174,896.054795546394,36395539.0,50160.0,137.81908821298126,26.0303237402959,77.2632340760729,818.285427416713,84.89674942232007,34.90841350797976,6.708432530362846,4.933171561765543,0
UGA,2015,23.4723696930371,75.0222143439573,862.934610355811,37531446.0,600.0,1.5986594281499305,24.8199759353437,75.8061496608174,896.054795546394,137.81908821298126,74.45217924548541,6.799116947758684,0.9549957074999789,0
